BMU,capacity,latitude,longitude,,,,,,,,,,
CLDRW-1,37,57.446901,-2.864483,,,,,,,,,,
KLDMW-1,18.4,57.2253,-2.7029,,,,,,,,,,
TULWW-2,25,56.828784,-2.425489,,,,,,,,,,
KTHLW-1,2,55.825,-2.82833,,,,,,,,,,
WISTW-2,62,57.921389,-4.187778,,,,,,,,,,
COUWW-1,20.5,55.675613,-5.494256,,,,,,,,,,
GLWSW-1,55,55.5,-4,,,,,,,,,,
AFTOW-1,47,55.310833,-4.17111,,,,,,,,,,
TMWLW-1,7,55.8,-3.7,,,,,,,,,,
HMGTO-2,111,53.639656,0.285863,,,,,,,,,,
GYMRO-15,142,53.45882,-3.584269,,,,,,,,,,
GYMRO-17,0,53.45882,-3.584269,,,,,,,,,,
GYMRO-26,143,53.45882,-3.584269,,,,,,,,,,
LNCSO-1,125,53.1833,0.4833,,,,,,,,,,
LNCSO-2,137,53.1833,0.4833,,,,,,,,,,
BLKWW-1,54,55.0917,-4.10917,,,,,,,,,,
RSHLW-1,25,57.9956,-4.5469,,,,,,,,,,
PTLDW-1,13.8,58.2589,-6.5108,,,,,,,,,,
GYMRO-28,142,53.45882,-3.584269,,,,,,,,,,
STPSW-1,30,58.5814,-3.14528,,,,,,,,,,
THNTO-1,146,51.4167,1.6167,,,,,,,,,,
THNTO-2,149,51.4167,1.6167,,,,,,,,,,
BNWKW-1,23,58.3466,-3.1692,,,,,,,,,,
ASHWW-1,36,55.53008,-3.799647,,,,,,,,,,
KLGLW-1,210,55.089858,-4.768295,,,,,,,,,,
GAOFO-1,88,51.89315,2.034508,,,,,,,,,,
FUABW-1,66,51.151231,-4.089855,,,,,,,,,,
BRYBW-1,88,57.49134,-3.627403,,,,,,,,,,
PNYCW-1,228,51.677362,-3.52907,,,,,,,,,,
CDWTW-1,39,55.637436,-4.211863,,,,,,,,,,
AKGLW-1,46,55.948866,-2.466111,,,,,,,,,,
ANSUW-1,17,56.199665,-5.111132,,,,,,,,,,
BETHW-1,30,57.802007,-4.246737,,,,,,,,,,
BGLAW-1,9,56.419914,-5.250134,,,,,,,,,,
BLLA-1,124,55.77787,-3.707898,,,,,,,,,,
BNAKW-1,28,57.469127,-6.432206,,,,,,,,,,
BOULW-1,12.8,58.289081,-3.443066,,,,,,,,,,
BOWLW-1,90,53.991462,-3.298284,,,,,,,,,,
BOYNW-1,17,57.661655,-2.644464,,,,,,,,,,
BRDUW-1,72,56.269829,-4.058936,,,,,,,,,,
BTUIW-1,29.7,55.59374,-5.514285,,,,,,,,,,
BURBW-1,86,53.488183,-3.184923,,,,,,,,,,
CAUSW-1,48.3,58.465178,-3.426688,,,,,,,,,,
CLFLW-1,7,56.290319,-4.898064,,,,,,,,,,
CRMHW-1,30,56.039043,-5.155922,,,,,,,,,,
